N0,S0,L0,F0,I0,J0,N1,S1,L1,F1,I1,J1,cost
2500000,2458397,41515,19,49,20,314000,255011,58921,11,41,16,0
2500185,2458602,41496,19,48,20,314082,255106,58908,11,41,16,0
2500369,2458816,41468,19,48,18,314158,255208,58882,11,41,16,323809
2500555,2459025,41447,19,46,18,314242,255305,58871,11,39,16,952584
2500738,2459227,41428,19,46,18,314326,255399,58861,11,39,16,1.91E+06
2500923,2459434,41407,18,46,18,314407,255492,58849,11,39,16,3.20E+06
2501109,2459645,41385,18,43,18,314482,255578,58840,10,39,15,4.84E+06
2501296,2459845,41372,17,44,18,314567,255676,58827,10,39,15,6.82E+06
2501482,2460055,41348,17,44,18,314648,255761,58823,10,39,15,9.14E+06
2501665,2460256,41330,17,44,18,314727,255870,58794,10,39,14,1.18E+07
2501849,2460470,41298,17,45,19,314805,255964,58777,10,39,15,1.48E+07
2502030,2460680,41269,16,45,20,314888,256064,58760,9,40,15,1.80E+07
2502216,2460889,41246,16,44,21,314970,256161,58743,9,41,16,2.17E+07
2502404,2461100,41223,15,45,21,315052,256257,58729,7,42,17,2.56E+07
2502593,2461303,41209,16,44,21,315131,256353,58712,7,41,18,2.98E+07
2502777,2461512,41187,16,42,20,315207,256454,58688,7,40,18,3.43E+07
2502960,2461718,41162,16,44,20,315291,256551,58674,7,41,18,3.92E+07
2503146,2461929,41137,16,44,20,315367,256640,58657,7,42,21,4.44E+07
2503329,2462137,41112,16,44,20,315448,256726,58650,7,44,21,5.00E+07
2503511,2462344,41087,16,44,20,315530,256829,58630,7,43,21,5.59E+07
2503699,2462555,41062,16,46,20,315608,256936,58604,7,42,19,6.21E+07
2503888,2462766,41040,15,46,21,315690,257035,58583,7,45,20,6.85E+07
2504072,2462968,41021,15,47,21,315769,257121,58577,7,44,20,7.53E+07
2504262,2463179,41002,15,46,20,315855,257205,58578,7,45,20,8.23E+07
2504444,2463386,40976,14,48,20,315931,257296,58563,7,45,20,8.97E+07
