"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092996,245944730,4139332,1956,4938,2040,31440759,25549610,5884142,1131,4161,1715,3.02617e+07
250186100,246050076,4127074,1969,4935,2046,31481431,25598086,5876286,1182,4158,1719,5.97277e+07
250279257,246155385,4114882,1972,4939,2079,31522176,25646709,5868377,1199,4170,1721,8.92821e+07
250372287,246260749,4102551,1962,4952,2073,31562724,25694864,5860736,1234,4173,1717,1.19289e+08
250465493,246366405,4090132,1931,4968,2057,31603260,25743147,5852943,1279,4166,1725,1.4926e+08
250558770,246471781,4078039,1930,4948,2072,31643933,25791454,5845283,1307,4149,1740,1.78508e+08
250652165,246577235,4065927,1942,4980,2081,31684567,25839834,5837511,1323,4159,1740,2.08284e+08
250745547,246682664,4053856,1962,4976,2089,31725186,25888141,5829822,1316,4173,1734,2.38023e+08
250838946,246788220,4041705,1971,4974,2076,31765723,25936537,5821952,1325,4178,1731,2.68305e+08
250932405,246893906,4029419,1983,5018,2079,31806277,25984752,5814294,1328,4186,1717,2.97097e+08
251026102,246999489,4017551,1978,5031,2053,31846930,26032739,5806886,1364,4214,1727,3.26209e+08
251119826,247105011,4005741,1952,5038,2084,31887587,26080799,5799433,1359,4246,1750,3.54834e+08
251213520,247210550,3993930,1931,5043,2066,31928170,26128909,5791867,1351,4282,1761,3.841e+08
251307225,247316350,3981820,1920,5077,2058,31968764,26177128,5784232,1368,4290,1746,4.13541e+08
251400985,247422083,3969817,1934,5097,2054,32009278,26224961,5776871,1386,4308,1752,4.42044e+08
251494807,247527579,3958139,1972,5079,2038,32049934,26272912,5769572,1373,4290,1787,4.70903e+08
251588650,247633096,3946481,1998,5039,2036,32090702,26320732,5762508,1354,4320,1788,4.99603e+08
251682653,247738847,3934772,1993,5026,2015,32131236,26368636,5755122,1366,4331,1781,5.29356e+08
251776718,247844701,3923027,2013,4986,1991,32171896,26416242,5748142,1379,4352,1781,5.58638e+08
251870881,247950356,3911591,2017,4932,1985,32212507,26463947,5741017,1386,4385,1772,5.87349e+08
251964982,248056028,3900030,2009,4922,1993,32253146,26511588,5733958,1422,4379,1799,6.15846e+08
252059224,248161558,3888727,1998,4974,1967,32293766,26559152,5727007,1432,4389,1786,6.44074e+08
252153530,248267237,3877369,1983,4988,1953,32334399,26606904,5719917,1435,4369,1774,6.72717e+08
252247892,248372991,3865953,1963,5012,1973,32374995,26654497,5712897,1425,4385,1791,7.00963e+08
252342365,248478802,3854622,1971,4984,1986,32415613,26702056,5705887,1449,4392,1829,7.29191e+08
252436839,248584739,3843212,1974,4932,1982,32456086,26749702,5698705,1455,4366,1858,7.58102e+08
252531459,248690627,3831981,1962,4898,1991,32496553,26797563,5691325,1438,4366,1861,7.86452e+08
252626003,248796616,3820506,1950,4934,1997,32537139,26845188,5684257,1463,4393,1838,8.14491e+08
252720692,248902544,3809258,1947,4965,1978,32577613,26892479,5677438,1465,4415,1816,8.41823e+08
252815467,249008408,3798235,1935,4932,1957,32618239,26939976,5670585,1457,4404,1817,8.69937e+08
252910209,249114555,3786857,1922,4928,1947,32658788,26987227,5663903,1457,4418,1783,8.97932e+08
253005051,249220623,3775638,1907,4920,1963,32699353,27034695,5656955,1476,4428,1799,9.25522e+08
253099937,249326689,3764480,1898,4900,1970,32739924,27081879,5650349,1493,4405,1798,9.52482e+08
253194879,249432906,3753222,1880,4901,1970,32780403,27128945,5643719,1505,4410,1824,9.80065e+08
253289856,249539103,3742021,1877,4900,1955,32820878,27176120,5637025,1501,4410,1822,1.00744e+09
253384997,249645233,3731004,1884,4925,1951,32861411,27223293,5630382,1511,4406,1819,1.03451e+09
253480153,249751260,3720160,1891,4919,1923,32901910,27270377,5623837,1492,4398,1806,1.06159e+09
253575356,249857417,3709226,1894,4930,1889,32942486,27317394,5617393,1482,4406,1811,1.08912e+09
253670626,249963730,3698240,1902,4890,1864,32982983,27364552,5610758,1488,4371,1814,1.11714e+09
