"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","latCost","actCost","totCost"
2500000,2458397,41515,19,49,20,314000,255011,58921,11,41,16,0,0,0
2500931,2459455,41387,21,47,21,314403,255517,58818,11,40,17,1.02071e+07,2.6128e+07,3.63351e+07
2501864,2460516,41262,21,42,23,314820,256025,58724,11,43,17,2.39442e+07,5.26329e+07,7.65771e+07
2502785,2461573,41124,22,43,23,315221,256501,58651,9,44,16,2.96965e+07,7.51993e+07,1.04896e+08
2503723,2462622,41011,21,46,23,315615,256970,58580,8,42,15,3.54402e+07,9.70696e+07,1.3251e+08
2504646,2463683,40872,20,45,26,316023,257442,58519,6,42,14,4.69107e+07,1.199e+08,1.66811e+08
2505581,2464741,40749,19,45,27,316414,257921,58433,5,43,12,5.9025e+07,1.4278e+08,2.01805e+08
2506522,2465765,40667,18,46,26,316814,258411,58344,5,40,14,7.63998e+07,1.64141e+08,2.40541e+08
2507446,2466827,40525,17,50,27,317216,258912,58243,6,40,15,8.05724e+07,1.89506e+08,2.70078e+08
2508380,2467890,40401,19,45,25,317623,259411,58147,7,39,19,9.92117e+07,2.14011e+08,3.13223e+08
2509305,2468931,40285,20,44,25,318032,259902,58066,7,39,18,1.10379e+08,2.36181e+08,3.4656e+08
2510235,2469981,40165,20,43,26,318428,260359,58004,8,38,19,1.20218e+08,2.56596e+08,3.76814e+08
2511170,2471024,40057,22,43,24,318839,260841,57933,9,37,19,1.29168e+08,2.79192e+08,4.08361e+08
2512102,2472084,39928,23,43,24,319232,261332,57833,9,41,17,1.36144e+08,3.03226e+08,4.3937e+08
2513042,2473146,39806,23,43,24,319622,261796,57761,9,41,15,1.4681e+08,3.25265e+08,4.72075e+08
2513984,2474211,39686,21,43,23,320040,262268,57705,9,39,19,1.5746e+08,3.47842e+08,5.05303e+08
2514927,2475259,39578,20,47,23,320440,262765,57610,8,38,19,1.64622e+08,3.70956e+08,5.35578e+08
2515864,2476314,39457,18,51,24,320849,263275,57509,8,37,20,1.67439e+08,3.96311e+08,5.6375e+08
2516811,2477359,39359,20,49,24,321261,263760,57439,7,35,20,1.7999e+08,4.18788e+08,5.98778e+08
2517749,2478416,39245,20,47,21,321676,264236,57373,7,39,21,1.86904e+08,4.41151e+08,6.28056e+08
2518701,2479499,39117,18,46,21,322085,264728,57290,6,39,22,1.95318e+08,4.65828e+08,6.61146e+08
2519639,2480564,38991,15,47,22,322495,265195,57235,5,36,24,2.03074e+08,4.87236e+08,6.9031e+08
2520568,2481618,38864,16,48,22,322910,265666,57182,4,35,23,2.10818e+08,5.09016e+08,7.19834e+08
2521512,2482673,38753,17,47,22,323311,266161,57090,4,33,23,2.19195e+08,5.31731e+08,7.50926e+08
2522457,2483737,38635,17,45,23,323711,266619,57031,5,33,23,2.27345e+08,5.5208e+08,7.79425e+08
2523398,2484809,38509,17,41,22,324112,267088,56965,6,32,21,2.42551e+08,5.74567e+08,8.17117e+08
2524324,2485863,38384,17,39,21,324515,267560,56894,7,33,21,2.53029e+08,5.95898e+08,8.48927e+08
2525269,2486927,38266,17,39,20,324931,268027,56839,8,36,21,2.5794e+08,6.17277e+08,8.75217e+08
2526211,2488000,38130,17,43,21,325352,268499,56792,8,34,19,2.69027e+08,6.39825e+08,9.08852e+08
2527155,2489059,38013,16,44,23,325759,268937,56761,7,35,19,2.76692e+08,6.58746e+08,9.35438e+08
2528107,2490120,37906,18,42,21,326171,269410,56701,8,36,16,2.91785e+08,6.79154e+08,9.70939e+08
2529057,2491177,37800,17,41,22,326584,269879,56648,5,36,16,3.03672e+08,6.9985e+08,1.00352e+09
2530003,2492227,37699,17,39,21,326994,270366,56573,6,36,13,3.10243e+08,7.20675e+08,1.03092e+09
2530961,2493287,37596,18,38,22,327389,270848,56486,6,37,12,3.17862e+08,7.43215e+08,1.06108e+09
2531905,2494370,37461,18,34,22,327787,271331,56402,7,34,13,3.29485e+08,7.65484e+08,1.09497e+09
2532864,2495420,37372,18,33,21,328196,271818,56329,7,30,12,3.41725e+08,7.85109e+08,1.12683e+09
2533814,2496484,37259,18,31,22,328579,272288,56248,7,28,8,3.54999e+08,8.05258e+08,1.16026e+09
2534764,2497537,37157,14,36,20,328993,272782,56160,7,34,10,3.61942e+08,8.26719e+08,1.18866e+09
2535723,2498595,37057,15,36,20,329394,273258,56083,8,33,12,3.66564e+08,8.46887e+08,1.21345e+09
2536680,2499676,36936,15,35,18,329799,273725,56019,9,35,11,3.80409e+08,8.68363e+08,1.24877e+09
2537633,2500747,36818,16,34,18,330203,274202,55948,8,35,10,3.92768e+08,8.90199e+08,1.28297e+09
2538589,2501799,36723,14,35,18,330598,274660,55882,10,36,10,4.02389e+08,9.09651e+08,1.31204e+09
2539546,2502874,36607,12,34,19,331012,275112,55842,11,37,10,4.10534e+08,9.29544e+08,1.34008e+09
2540497,2503935,36501,12,33,16,331422,275595,55772,10,34,11,4.34725e+08,9.49876e+08,1.3846e+09
2541449,2504987,36397,13,35,17,331824,276057,55714,8,33,12,4.38681e+08,9.68383e+08,1.40706e+09
2542407,2506052,36289,13,36,17,332246,276526,55667,9,32,12,4.45335e+08,9.88577e+08,1.43391e+09
2543365,2507131,36162,15,38,19,332652,276988,55608,7,34,15,4.49487e+08,1.0096e+09,1.45909e+09
2544327,2508193,36061,14,39,20,333063,277466,55537,8,35,17,4.50731e+08,1.03043e+09,1.48116e+09
2545289,2509256,35957,12,43,21,333458,277941,55453,8,37,19,4.54871e+08,1.05093e+09,1.5058e+09
2546238,2510341,35820,11,46,20,333871,278400,55413,8,34,16,4.64172e+08,1.07139e+09,1.53556e+09
2547201,2511415,35713,10,44,19,334274,278862,55353,8,35,16,4.71396e+08,1.09167e+09,1.56306e+09
2548158,2512494,35592,11,41,20,334674,279341,55271,7,38,17,4.7593e+08,1.11385e+09,1.58978e+09
2549115,2513557,35490,10,38,20,335076,279809,55207,8,38,14,4.89923e+08,1.13407e+09,1.62399e+09
2550084,2514625,35391,11,37,20,335477,280289,55130,9,36,13,5.00608e+08,1.15441e+09,1.65502e+09
2551042,2515710,35265,13,36,18,335893,280780,55057,10,35,11,5.05122e+08,1.17718e+09,1.68231e+09
2552007,2516789,35153,12,34,19,336294,281252,54988,9,33,12,5.09629e+08,1.19777e+09,1.7074e+09
2552968,2517863,35037,13,35,20,336687,281718,54911,10,31,17,5.16789e+08,1.21772e+09,1.73451e+09
