"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
250000000,245839452,4151598,1934,4968,2048,31400000,25500948,5892120,1107,4130,1695,0
250092987,245944667,4139296,1970,4985,2069,31440749,25549543,5884215,1147,4143,1701,0
250185953,246050017,4126904,2002,4967,2063,31481426,25597805,5876583,1196,4139,1703,0
250279093,246155551,4114507,1997,4993,2045,31522179,25646319,5868769,1235,4141,1715,0
250372183,246261090,4102021,1991,5019,2062,31562901,25694815,5860946,1250,4174,1716,0
250465390,246366614,4089726,1934,5042,2074,31603568,25743151,5853245,1252,4194,1726,0
250558707,246472070,4077568,1953,5039,2077,31644384,25791485,5845661,1293,4217,1728,0
250651980,246577580,4065315,1924,5068,2093,31684857,25839694,5837910,1291,4237,1725,0
250745306,246683263,4052967,1940,5044,2092,31725536,25887981,5830296,1287,4259,1713,0
250838728,246789170,4040492,1951,5060,2055,31766123,25936189,5822662,1289,4269,1714,0
250932271,246894644,4028518,1952,5074,2083,31806824,25984170,5815332,1322,4284,1716,0
251025828,247000299,4016465,1973,5031,2060,31847453,26032208,5807886,1339,4308,1712,0
251119442,247105906,4004470,1958,5052,2056,31888151,26080513,5800255,1332,4320,1731,0
251213198,247211385,3992769,1957,5026,2061,31928796,26128548,5792801,1321,4356,1770,0
251306889,247317197,3980647,1971,5000,2074,31969414,26176583,5785395,1327,4348,1761,0
251400688,247423023,3968623,1958,5030,2054,32010014,26224657,5777892,1340,4349,1776,0
251494665,247528827,3956757,1959,5036,2086,32050679,26272652,5770525,1337,4373,1792,0
251588633,247634309,3945251,1975,5012,2086,32091332,26320777,5763056,1335,4367,1797,0
251682677,247739977,3933638,1979,4988,2095,32131990,26368820,5755696,1352,4315,1807,0
251776729,247845827,3921842,1964,4990,2106,32172493,26416522,5748496,1351,4302,1822,0
251870932,247951552,3910305,1990,5006,2079,32212989,26464210,5741276,1360,4319,1824,0
251965132,248057475,3898643,1946,4989,2079,32253563,26511921,5734112,1377,4332,1821,0
252059381,248163234,3887156,1961,4997,2033,32294099,26559576,5727005,1389,4327,1802,0
252153724,248269042,3875723,1981,4959,2019,32334671,26607230,5719900,1384,4327,1830,0
252248106,248374976,3864183,1964,4982,2001,32375140,26654930,5712670,1395,4334,1811,0
252342504,248480916,3852631,1962,4998,1997,32415623,26702348,5705744,1403,4330,1798,0
252436968,248587025,3840993,1961,4994,1995,32456300,26749807,5698972,1374,4331,1816,0
252531448,248693131,3829396,1929,4989,2003,32496936,26797387,5692021,1381,4326,1821,0
252626100,248798976,3818261,1919,4950,1994,32537418,26844771,5685116,1388,4341,1802,0
252720841,248904833,3807124,1917,4973,1994,32577975,26892047,5678447,1400,4307,1774,0
252815517,249010621,3795995,1929,4975,1997,32618490,26939798,5671214,1390,4311,1777,0
252910255,249116789,3784665,1926,4906,1969,32659114,26987223,5664429,1379,4309,1774,0
253005206,249222812,3773558,1960,4911,1965,32699604,27034437,5657722,1385,4285,1775,0
253100159,249328800,3762544,1926,4914,1975,32740091,27081622,5651026,1381,4272,1790,0
253195151,249434779,3751548,1888,4937,1999,32780584,27128962,5644236,1377,4264,1745,0
253290112,249540678,3740646,1901,4890,1997,32821035,27176231,5637395,1390,4271,1748,0
253385265,249646787,3729711,1894,4893,1980,32861581,27223438,5630725,1400,4270,1748,0
253480402,249753005,3718626,1903,4896,1972,32902074,27270595,5624082,1394,4255,1748,0
253575593,249859079,3707747,1933,4862,1972,32942600,27317466,5617739,1397,4260,1738,0
253670802,249965329,3696755,1934,4827,1957,32983278,27364407,5611433,1390,4301,1747,0
253766127,250071705,3685720,1925,4810,1967,33023801,27411146,5605196,1403,4324,1732,0
253861621,250177924,3675030,1922,4786,1959,33064356,27458342,5598561,1400,4325,1728,0
253957062,250284354,3664065,1926,4737,1980,33104878,27505202,5592194,1403,4356,1723,0
254052589,250390835,3653140,1903,4718,1993,33145459,27552548,5585433,1399,4355,1724,0
254148123,250497206,3642326,1880,4735,1976,33185849,27599355,5579013,1407,4347,1727,0
254243783,250603629,3631549,1902,4736,1967,33226415,27645995,5572957,1422,4319,1722,0
254339528,250709921,3621048,1896,4705,1958,33266867,27692852,5566554,1430,4309,1722,0
254435233,250816140,3610527,1904,4702,1960,33307338,27739562,5560275,1442,4323,1736,0
254531061,250922698,3599780,1904,4730,1949,33347861,27786469,5553894,1408,4346,1744,0
254626878,251029138,3589219,1907,4676,1938,33388319,27833048,5547755,1412,4373,1731,0
254722797,251135806,3578520,1893,4654,1924,33428831,27879646,5541646,1410,4409,1720,0
254818824,251242486,3567900,1880,4619,1939,33469258,27926303,5535371,1427,4412,1745,0
254914928,251348991,3557539,1882,4594,1922,33509688,27973042,5529039,1422,4425,1760,0
255011103,251455862,3546888,1846,4579,1928,33550099,28019656,5522862,1438,4399,1744,0
255107248,251562650,3536277,1832,4580,1909,33590576,28066265,5516700,1458,4409,1744,0
255203566,251669482,3525749,1856,4572,1907,33631054,28112809,5510611,1470,4411,1753,0
255299874,251776188,3515367,1845,4568,1906,33671535,28159295,5504622,1464,4416,1738,0
255396245,251883066,3504904,1822,4538,1915,33711988,28205601,5498834,1466,4368,1719,0
255492744,251989817,3494662,1839,4507,1919,33752463,28252059,5492873,1483,4331,1717,0
255589249,252096601,3484373,1830,4514,1931,33793033,28298402,5487128,1464,4322,1717,0
255685736,252203517,3473923,1841,4519,1936,33833480,28344476,5481520,1473,4328,1683,0
255782350,252310464,3463599,1820,4530,1937,33873843,28390785,5475592,1462,4320,1684,0
255878980,252417353,3453362,1824,4515,1926,33914218,28436965,5469787,1480,4313,1673,0
255975736,252524250,3443184,1816,4538,1948,33954611,28482792,5464346,1494,4297,1682,0
256072665,252631311,3433104,1828,4495,1927,33995088,28529034,5458567,1491,4299,1697,0
256169516,252738247,3423038,1814,4482,1935,34035454,28575147,5452769,1493,4349,1696,0
256266438,252845126,3413143,1817,4421,1931,34075794,28621060,5447190,1482,4358,1704,0
256363450,252952274,3403065,1826,4384,1901,34116295,28666989,5441722,1494,4373,1717,0
256460531,253059359,3393056,1824,4394,1898,34156569,28713045,5435971,1483,4349,1721,0
256557616,253166269,3383267,1806,4402,1872,34196896,28758793,5430533,1477,4361,1732,0
256654787,253273507,3373242,1824,4399,1815,34237319,28804966,5424842,1472,4318,1721,0
256752045,253380991,3363030,1800,4405,1819,34277706,28850965,5419220,1456,4351,1714,0
256849344,253488322,3353069,1840,4313,1800,34318125,28896620,5414015,1447,4338,1705,0
256946671,253595360,3343404,1807,4313,1787,34358610,28942495,5408627,1439,4374,1675,0
257044104,253702711,3333505,1793,4333,1762,34399011,28988068,5403455,1428,4360,1700,0
257141646,253809901,3323868,1779,4336,1762,34439363,29033576,5398277,1438,4366,1706,0
257239241,253917467,3313942,1770,4318,1744,34479704,29079503,5392703,1441,4380,1677,0
257336861,254024834,3304187,1734,4365,1741,34520020,29125186,5387342,1469,4352,1671,0
257434540,254132132,3294569,1731,4376,1732,34560398,29171057,5381816,1477,4361,1687,0
257532249,254239613,3284829,1728,4350,1729,34600817,29216706,5376603,1482,4363,1663,0
257630112,254347083,3275238,1720,4320,1751,34641189,29262254,5371449,1498,4332,1656,0
257728054,254454776,3265470,1705,4320,1783,34681591,29307992,5366073,1507,4350,1669,0
257825954,254562132,3255978,1714,4352,1778,34721905,29353667,5360711,1503,4348,1676,0
257923954,254669703,3246409,1739,4346,1757,34762292,29398950,5355790,1519,4336,1697,0
258021971,254777293,3236865,1733,4314,1766,34802803,29444489,5350755,1528,4315,1716,0
258120057,254885056,3227161,1716,4333,1791,34843153,29490136,5345494,1520,4303,1700,0
258218195,254992700,3217697,1721,4302,1775,34883499,29535699,5340250,1535,4292,1723,0
258316448,255100399,3208281,1697,4297,1774,34923834,29581086,5335236,1523,4298,1691,0
258414774,255208305,3198753,1677,4289,1750,34964265,29626434,5330311,1525,4284,1711,0
258513131,255315845,3189577,1669,4291,1749,35004547,29671615,5325370,1541,4299,1722,0
258611555,255423687,3180218,1677,4243,1730,35044888,29717131,5320231,1522,4280,1724,0
258710023,255531452,3170887,1707,4256,1721,35085188,29762586,5315088,1508,4288,1718,0
258808487,255639222,3161617,1700,4244,1704,35125480,29807819,5310145,1506,4287,1723,0
258907069,255747206,3152242,1682,4239,1700,35165833,29853074,5305247,1524,4266,1722,0
259005694,255855029,3143017,1684,4246,1718,35206154,29898287,5300322,1520,4288,1737,0
259104396,255963110,3133674,1686,4209,1717,35246478,29943416,5295521,1510,4293,1738,0
259203102,256071230,3124293,1685,4194,1700,35286802,29988667,5290633,1499,4264,1739,0
259301987,256179315,3115133,1665,4200,1674,35327155,30033933,5285711,1467,4301,1743,0
259400861,256287265,3106027,1690,4198,1681,35367520,30079183,5280875,1467,4260,1735,0
259499848,256395375,3096927,1661,4199,1686,35407853,30124366,5276060,1444,4250,1733,0
259598943,256503272,3088137,1657,4189,1688,35448085,30169318,5271355,1442,4237,1733,0
259698026,256611376,3079123,1670,4165,1692,35488352,30214451,5266483,1444,4236,1738,0
259797171,256719689,3069969,1640,4192,1681,35528695,30259702,5261571,1421,4258,1743,0
