"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","cost"
2500000,2458397,41515,19,49,20,314000,255011,58921,11,41,16,0
2500932,2459328,41511,21,52,20,314410,255322,59018,12,42,16,0
2501864,2460241,41526,22,55,20,314810,255640,59096,11,47,16,1.17652e+06
2502798,2461174,41524,24,55,21,315218,255956,59185,11,48,18,3.47962e+06
2503724,2462100,41518,26,58,22,315614,256263,59271,13,49,18,7.00538e+06
2504654,2463030,41517,26,59,22,316018,256566,59368,14,50,20,1.1545e+07
2505591,2463962,41520,27,60,22,316422,256877,59456,16,53,20,1.72674e+07
2506513,2464895,41507,29,60,22,316815,257196,59526,15,57,21,2.43471e+07
2507453,2465815,41520,30,66,22,317216,257504,59615,17,59,21,3.26978e+07
2508381,2466745,41512,28,71,25,317619,257811,59705,18,63,22,4.19703e+07
2509309,2467674,41506,30,73,26,318015,258103,59803,19,66,24,5.23097e+07
2510248,2468600,41516,31,73,28,318427,258399,59915,21,67,25,6.36702e+07
2511172,2469534,41503,33,74,28,318841,258707,60019,23,68,24,7.62582e+07
2512114,2470455,41518,36,77,28,319249,259020,60109,21,72,27,8.98741e+07
2513053,2471379,41526,40,80,28,319666,259329,60215,20,74,28,1.04635e+08
2513986,2472306,41527,42,82,29,320079,259623,60325,21,80,30,1.20555e+08
2514918,2473338,41429,41,80,30,320483,260085,60262,24,82,30,1.37601e+08
2515868,2474373,41342,42,80,31,320887,260538,60208,26,86,29,1.54546e+08
2516805,2475413,41241,44,76,31,321294,261012,60138,28,85,31,1.71519e+08
2517747,2476454,41143,42,78,30,321699,261473,60079,25,90,32,1.88343e+08
2518688,2477468,41068,42,77,33,322093,261933,60008,26,94,32,2.05628e+08
2519625,2478502,40967,47,76,33,322496,262374,59972,28,91,31,2.22981e+08
2520565,2479568,40843,48,74,32,322904,262843,59909,28,91,33,2.40198e+08
2521505,2480615,40735,46,76,33,323299,263268,59876,29,91,35,2.57268e+08
2522444,2481670,40616,46,76,36,323710,263714,59838,31,91,36,2.74824e+08
2523394,2482685,40549,48,76,36,324120,264157,59803,34,89,37,2.92521e+08
2524321,2483721,40438,48,76,38,324520,264615,59743,27,96,39,3.10032e+08
2525264,2484762,40346,46,74,36,324918,265070,59686,28,94,40,3.27748e+08
2526212,2485817,40241,45,75,34,325323,265538,59620,31,93,41,3.45219e+08
2527160,2486865,40144,47,70,34,325732,265990,59573,32,95,42,3.62617e+08
2528105,2487921,40034,48,68,34,326144,266435,59538,33,98,40,3.79948e+08
2529056,2488992,39915,47,67,35,326542,266882,59484,36,100,40,3.97333e+08
2530005,2490054,39799,44,71,37,326952,267334,59436,38,104,40,4.1481e+08
2530954,2491089,39710,40,77,38,327342,267784,59374,38,104,42,4.32236e+08
2531903,2492138,39611,40,76,38,327756,268240,59336,37,99,44,4.49975e+08
2532852,2493183,39508,37,83,41,328161,268700,59281,38,98,44,4.67444e+08
2533800,2494251,39387,35,85,42,328565,269150,59232,39,99,45,4.85021e+08
2534747,2495287,39295,36,84,45,328971,269604,59182,41,100,44,5.02842e+08
2535697,2496345,39190,37,80,45,329374,270056,59129,41,102,46,5.20575e+08
2536651,2497400,39091,39,75,46,329767,270501,59084,40,96,46,5.38444e+08
2537604,2498424,39018,39,78,45,330169,270951,59030,41,103,44,5.56143e+08
2538568,2499494,38908,42,79,45,330577,271395,59001,42,98,41,5.74161e+08
2539516,2500541,38814,42,77,42,330976,271851,58938,41,104,42,5.91873e+08
2540466,2501609,38700,44,76,37,331381,272301,58895,43,100,42,6.09606e+08
2541419,2502690,38567,46,80,36,331795,272754,58853,45,99,44,6.26992e+08
2542365,2503767,38435,43,83,37,332192,273205,58801,45,98,43,6.44376e+08
